Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «кроссовки», по месяцам, 01.02.2024 — 31.01.2026, все регионы, все устройства
февраль 2024;2 895 024;0,025;
март 2024;4 359 585;0,037;
апрель 2024;5 006 077;0,046;
май 2024;4 352 701;0,040;
июнь 2024;3 144 885;0,033;
июль 2024;2 930 855;0,031;
август 2024;3 536 289;0,037;
сентябрь 2024;3 141 411;0,031;
октябрь 2024;3 107 429;0,027;
ноябрь 2024;2 834 878;0,024;
декабрь 2024;2 168 696;0,018;
январь 2025;2 333 303;0,019;
февраль 2025;2 604 442;0,022;
март 2025;4 275 043;0,035;
апрель 2025;4 360 246;0,038;
май 2025;3 871 945;0,036;
июнь 2025;3 288 706;0,031;
июль 2025;3 081 832;0,029;
август 2025;3 854 593;0,037;
сентябрь 2025;3 529 920;0,030;
октябрь 2025;3 187 543;0,027;
ноябрь 2025;2 764 946;0,023;
декабрь 2025;2 092 769;0,018;
январь 2026;1 817 255;0,017;
